location,type,long,lat
FKNMS1,Sanctuary,-80.34609,25.33075
FKNMS1,Sanctuary,-80.34613,25.33067
FKNMS1,Sanctuary,-80.34613,25.33064
FKNMS1,Sanctuary,-80.346,25.33056
FKNMS1,Sanctuary,-80.34598,25.33051
FKNMS1,Sanctuary,-80.34601,25.3304
FKNMS1,Sanctuary,-80.34598,25.33022
FKNMS1,Sanctuary,-80.34593,25.33012
FKNMS1,Sanctuary,-80.34589,25.32995
FKNMS1,Sanctuary,-80.34576,25.32977
FKNMS1,Sanctuary,-80.34561,25.32971
FKNMS1,Sanctuary,-80.34558,25.32967
FKNMS1,Sanctuary,-80.34556,25.32952
FKNMS1,Sanctuary,-80.34553,25.32943
FKNMS1,Sanctuary,-80.34552,25.32935
FKNMS1,Sanctuary,-80.34556,25.32927
FKNMS1,Sanctuary,-80.34565,25.32919
FKNMS1,Sanctuary,-80.3458,25.32914
FKNMS1,Sanctuary,-80.3461,25.32911
FKNMS1,Sanctuary,-80.3462,25.32906
FKNMS1,Sanctuary,-80.3463,25.3289
FKNMS1,Sanctuary,-80.34638,25.32882
FKNMS1,Sanctuary,-80.34643,25.32881
FKNMS1,Sanctuary,-80.34663,25.3289
FKNMS1,Sanctuary,-80.34688,25.32882
FKNMS1,Sanctuary,-80.34713,25.32868
FKNMS1,Sanctuary,-80.34725,25.32864
FKNMS1,Sanctuary,-80.34735,25.32865
FKNMS1,Sanctuary,-80.3474,25.32868
FKNMS1,Sanctuary,-80.34741,25.32872
FKNMS1,Sanctuary,-80.34736,25.32877
FKNMS1,Sanctuary,-80.34724,25.3288
FKNMS1,Sanctuary,-80.34714,25.32881
FKNMS1,Sanctuary,-80.34709,25.32885
FKNMS1,Sanctuary,-80.34708,25.32891
FKNMS1,Sanctuary,-80.34714,25.32896
FKNMS1,Sanctuary,-80.34727,25.32898
FKNMS1,Sanctuary,-80.34745,25.32898
FKNMS1,Sanctuary,-80.34753,25.32894
FKNMS1,Sanctuary,-80.34765,25.3288
FKNMS1,Sanctuary,-80.34777,25.3287
FKNMS1,Sanctuary,-80.3479,25.32867
FKNMS1,Sanctuary,-80.34794,25.32863
FKNMS1,Sanctuary,-80.34793,25.32851
FKNMS1,Sanctuary,-80.34797,25.32846
FKNMS1,Sanctuary,-80.34796,25.32837
FKNMS1,Sanctuary,-80.348,25.32821
FKNMS1,Sanctuary,-80.34801,25.32812
FKNMS1,Sanctuary,-80.34791,25.32806
FKNMS1,Sanctuary,-80.34791,25.32802
FKNMS1,Sanctuary,-80.348,25.32787
FKNMS1,Sanctuary,-80.34806,25.32773
FKNMS1,Sanctuary,-80.34816,25.32753
FKNMS1,Sanctuary,-80.34825,25.32745
FKNMS1,Sanctuary,-80.34833,25.32739
FKNMS1,Sanctuary,-80.34854,25.32741
FKNMS1,Sanctuary,-80.3487,25.3275
FKNMS1,Sanctuary,-80.34887,25.32755
FKNMS1,Sanctuary,-80.34909,25.32758
FKNMS1,Sanctuary,-80.34925,25.32766
FKNMS1,Sanctuary,-80.3493,25.32764
FKNMS1,Sanctuary,-80.34935,25.32757
FKNMS1,Sanctuary,-80.34938,25.32757
FKNMS1,Sanctuary,-80.34946,25.32766
FKNMS1,Sanctuary,-80.34958,25.32771
FKNMS1,Sanctuary,-80.34967,25.32768
FKNMS1,Sanctuary,-80.3499,25.32748
FKNMS1,Sanctuary,-80.34993,25.32749
FKNMS1,Sanctuary,-80.34994,25.32753
FKNMS1,Sanctuary,-80.34997,25.32758
FKNMS1,Sanctuary,-80.34997,25.32771
